title,company,location,skills,skill
Data Analyst,Goodwill Industries of Alberta,"Southgate, Edmonton",,
Data Analyst,Central Business Solutions,"Verdun, Montréal",python,python
Data Analyst,Canada Life,"Winnipeg, Winnipeg region",,
Data Analyst,Mariner Innovations,"Halifax, Halifax region",,
Data Analyst,TheAppLabb,"Central Bay Street, City of Toronto",,
Data Analyst,Canadian Natural Resources Limited,"Calgary Tower, Calgary",,
Data Analyst,GoBolt,"Toronto, Ontario",,
Data Analyst,Stripe,Canada,,
Data Analyst,OSCAR Pro,Canada,,
Data Analyst,Queen's University,"Kingston, Lennox and Addington",,
Data Analyst,Dillon Consulting Limited,"King and Spadina, City of Toronto","excel, power bi",excel
Data Analyst,Dillon Consulting Limited,"King and Spadina, City of Toronto","excel, power bi",power bi
Data Analyst,Thales,Canada,,
Data Analyst,Detect,"Dartmouth, Halifax region",,
Data Analyst,Cover Genius,"Greater Vancouver, British Columbia",,
Data Analyst,Stripe,"Toronto, Ontario",,
Data Analyst,Ford Motor Company,"Oakville, Halton",,
Data Analyst,7shifts,"Toronto, Ontario",,
Data Analyst,FLiiP,"Brossard, Champlain",,
Data Analyst,Amilia,"Verdun, Montréal",,
Data Analyst,Smartrend Manufacturing Group,"Winnipeg, Winnipeg region",,
Data Analyst,CBRE,"Toronto, Ontario",,
Data Analyst,Workstream,"Greater Vancouver, British Columbia",,
Data Analyst,Spectrum Health Care,"Toronto, Ontario",,
Data Analyst,Tailscale,Canada,,
Data Analyst,TransCanada PipeLines Limited,"Calgary, Calgary region",,
Data Analyst,TC Energy,"Calgary, Calgary region",,
Data Analyst,Verisk,"Markham, York region",,
Data Analyst,Intact,"Toronto, Ontario",,
Data Analyst,Cooke Aquaculture Inc.,"Saint John, Saint John region",,
Data Analyst,Zynga,Canada,,
Data Analyst,Edmonton Public Library,"Edmonton, Edmonton region",,
Data Analyst,Zynga,"Toronto, Ontario",,
Data Analyst,J&M Group,"Mississauga, Peel region",excel,excel
Data Analyst,Intact Financial Corporation,Canada,,
Data Analyst,Cooke Aquaculture Inc.,"Saint John, Saint John region",,
Data Analyst,BALANCED PLUS INC.,"Mississauga, Peel region",,
"Data Analyst, Metrics",Lyft,"Toronto, Ontario",,
Mainframe Data Analyst,Maarut Inc,"East York, Toronto",,
Data Analyst,carsales,"Melbourne, Melbourne Region",sql,sql
Data Analyst,HorizonOne,"Canberra Region, Australian Capital Territory",,
Data Analyst,CodeGen,"Melbourne, Melbourne Region",,
Data Analyst,Whizdom Recruitment,"The Rocks, Sydney",,
Data Analyst,City of Port Phillip,Australia,,
Data Analyst,OMD Australia,"The Rocks, Sydney",,
Data Analyst,Easyagile,"New South Wales, Australia",,
Data Analyst,APS,"Waverton, North Sydney Area",,
Data Analyst,BetaShares,"The Rocks, Sydney",,
Data Analyst,Ferocia,"Melbourne, Melbourne Region",,
Data Analyst,Advertising Industry Careers,"North Sydney, North Sydney Area",,
Data Analyst,Bingo Industries,"Silverwater, Auburn Area","sql, excel, power bi",sql
Data Analyst,Bingo Industries,"Silverwater, Auburn Area","sql, excel, power bi",excel
Data Analyst,Bingo Industries,"Silverwater, Auburn Area","sql, excel, power bi",power bi
Data Analyst,Professional Search Group,"Subiaco, Subiaco Area",,
Data Analyst,Infomedia,"Sydney, Sydney Region",,
Data Analyst,Easy Agile,"New South Wales, Australia",,
Data Analyst,nib Health Funds Limited,"Newcastle Area, Newcastle Region",,
Data Analyst,Shippit,"The Rocks, Sydney",,
Data Analyst,Heritage Bank,"Queensland, Australia",,
Data Analyst,Northern Territory Government,"Darwin Region, Northern Territory",,
Data Analyst,hipages Group,"Sydney, Sydney Region",,
Data Analyst,Victorian Electoral Commission,"Melbourne, Melbourne Region",,
Data Analyst,Nationwide News Pty,"Surry Hills, Sydney",,
Senior Data Analyst,Clicks IT Recruitment,"Clayton, Monash Area",excel,excel
Senior Data Analyst,FourQuarters,"Melbourne, Melbourne Region",,
Senior Data Analyst,NielsenIQ,"North Sydney Area, North Shore",,
Business & Data Analyst,Kinexus,"Sydney, Sydney Region",,
Financial Data Analysts,Infinite Consulting,"Canberra Region, Australian Capital Territory",,
Senior Data Analyst,GSB,Australia,"sql, aws",sql
Senior Data Analyst,GSB,Australia,"sql, aws",aws
Data Analyst with Superannuation,IQ Group Australia,"Melbourne, Melbourne Region",,
Senior Data Analyst,Luxury Escapes,"The Rocks, Sydney",,
Healthcare Data Analyst,Eaton Building Materials,"Blue Haven, Wyong Area",,
Marketing Data Analyst,Allens,"Melbourne CBD, Melbourne",,
Merchandise Data Analyst,Forever New,"Richmond, Yarra Area",,
Merchandise Data Analyst,Page Up,Australia,,
Senior Data Analyst,Department of Communities and Justice,"Parramatta, Parramatta Area",,
Senior Data Analyst,Mable,"Brisbane CBD, Brisbane",,
Lead Data Analyst,Wesfarmers OneDigital,"Melbourne, Melbourne Region",,
Senior Data Analyst,myCareer,Australia,,
Marketing Data Analyst,The Leading Edge,"Sydney, Sydney Region",,
Senior Data Analyst,VAU Versent Pty,"Melbourne, Melbourne Region","power bi, azure",power bi
Senior Data Analyst,VAU Versent Pty,"Melbourne, Melbourne Region","power bi, azure",azure
Senior Data Analyst,Marlee,"Sydney, Sydney Region",,
Jr. Data Analyst,Lenovo,Australia,,
Senior Data Analyst,Grant Thornton Australia Limited,"Sydney, Sydney Region",,
Lead Data Analyst,Macquarie University,Australia,,
Senior Data Analyst,RELX Trading Australia Pty Limited Company,"Sydney, Sydney Region",,
Senior Data Analyst,RELX INC,"Sydney, Sydney Region",,
Senior Data Analyst,Mable,Australia,,
Client Data Analyst,realestate.com.au Pty,"Sydney, Sydney Region",,
Sustainability Data Analyst,UOM University of Melbourne,"Parkville, Upper Hunter",,
Digital Data Analyst,Advertising Industry Careers,"Sydney, Sydney Region",,
Data Scientist,HirePower Staffing Solution,"Mumbai, Maharashtra",machine learning,machine learning
Data Scientist,The Guide,India,,
Data Scientist,v4c.ai,India,machine learning,machine learning
Data Scientist,Protium,"Bangalore, Karnataka",,
Data Scientist,Cygnus AI Solutions,"Mumbai, Maharashtra",,
Data Scientist,Cron Labs,"Bangalore, Karnataka",,
Data Scientist,AB InBev GCC India,"Bangalore, Karnataka",,
Data Scientist,bp,"Pune, Maharashtra",,
Data Scientist,AB InBev GCC India,"Bangalore, Karnataka",,
Data Scientist,Alp Consulting Ltd.,"Pune, Maharashtra","python, aws, azure, machine learning",python
Data Scientist,Alp Consulting Ltd.,"Pune, Maharashtra","python, aws, azure, machine learning",aws
Data Scientist,Alp Consulting Ltd.,"Pune, Maharashtra","python, aws, azure, machine learning",azure
Data Scientist,Alp Consulting Ltd.,"Pune, Maharashtra","python, aws, azure, machine learning",machine learning
Data Scientist,Zensar Technologies,India,azure,azure
